iter	Passed	Remaining
704	4021	1682
705	4024	1675
706	4037	1673
707	4041	1666
708	4044	1659
709	4047	1653
710	4049	1646
711	4052	1639
712	4055	1632
713	4057	1625
714	4059	1618
715	4062	1611
716	4064	1604
717	4080	1602
718	4082	1595
719	4085	1588
720	4088	1581
721	4090	1574
722	4092	1568
723	4095	1561
724	4104	1556
725	4110	1551
726	4112	1544
727	4116	1537
728	4118	1530
729	4120	1523
730	4122	1517
731	4137	1514
732	4139	1507
733	4141	1501
734	4144	1494
735	4146	1487
736	4148	1480
737	4168	1479
738	4171	1473
739	4173	1466
740	4177	1460
741	4180	1453
742	4184	1447
743	4186	1440
744	4190	1434
745	4192	1427
746	4200	1422
747	4213	1419
748	4215	1412
749	4218	1406
750	4220	1399
751	4223	1392
752	4226	1386
753	4229	1379
754	4242	1376
755	4245	1370
756	4247	1363
757	4249	1356
758	4257	1351
759	4259	1345
760	4275	1342
761	4278	1336
762	4280	1329
763	4282	1322
764	4287	1317
765	4289	1310
766	4292	1304
767	4295	1297
768	4298	1291
769	4305	1285
770	4316	1282
771	4318	1275
772	4321	1269
773	4324	1262
774	4326	1256
775	4346	1254
776	4349	1248
777	4351	1241
778	4370	1240
779	4373	1233
780	4375	1226
781	4380	1221
782	4382	1214
783	4384	1208
784	4387	1201
785	4389	1195
786	4403	1191
787	4406	1185
788	4409	1179
789	4411	1172
790	4414	1166
791	4417	1160
792	4426	1155
793	4429	1149
794	4444	1145
795	4451	1140
796	4454	1134
797	4457	1128
798	4459	1121
799	4462	1115
800	4477	1112
801	4480	1106
802	4483	1099
803	4485	1093
804	4499	1089
805	4502	1083
806	4504	1077
807	4506	1070
808	4514	1065
809	4525	1061
810	4529	1055
811	4542	1051
812	4544	1045
813	4547	1039
814	4549	1032
815	4560	1028
816	4562	1022
817	4573	1017
818	4575	1011
819	4578	1004
820	4580	998
821	4586	993
822	4589	987
823	4592	980
824	4599	975
825	4602	969
826	4614	965
827	4616	958
828	4628	954
829	4632	948
830	4636	942
831	4638	936
832	4641	930
833	4644	924
834	4660	920
835	4662	914
836	4679	911
837	4684	905
838	4686	899
839	4697	894
840	4706	889
841	4709	883
842	4732	881
843	4737	875
844	4739	869
845	4749	864
846	4751	858
847	4759	853
848	4761	846
849	4770	841
850	4778	836
851	4790	832
852	4799	827
853	4802	821
854	4816	816
855	4829	812
856	4832	806
857	4834	800
858	4845	795
859	4862	791
860	4874	786
861	4891	783
862	4905	778
863	4908	772
864	4924	768
865	4931	763
866	4945	758
867	4956	753
868	4958	747
869	4965	741
870	4977	737
871	4980	731
872	4982	724
873	4986	718
874	4991	713
875	4994	707
876	5007	702
877	5010	696
878	5012	689
879	5014	683
880	5017	677
881	5021	671
882	5024	665
883	5027	659
884	5040	654
885	5042	648
886	5058	644
887	5062	638
888	5065	632
889	5070	626
890	5082	621
891	5085	615
892	5087	609
893	5094	604
894	5097	598
895	5100	592
896	5109	586
897	5117	581
898	5119	575
899	5132	570
900	5141	564
901	5144	558
902	5146	552
903	5161	548
904	5163	542
905	5166	536
906	5169	530
907	5187	525
908	5190	519
909	5193	513
910	5195	507
911	5198	501
912	5200	495
913	5202	489
914	5205	483
915	5226	479
916	5229	473
917	5231	467
918	5233	461
919	5235	455
920	5238	449
921	5240	443
922	5243	437
923	5245	431
924	5248	425
925	5250	419
926	5252	413
927	5258	407
928	5278	403
929	5281	397
930	5284	391
931	5286	385
932	5294	380
933	5296	374
934	5299	368
935	5302	362
936	5304	356
937	5315	351
938	5328	346
939	5335	340
940	5341	334
941	5343	329
942	5345	323
943	5349	317
944	5352	311
945	5355	305
946	5370	300
947	5372	294
948	5375	288
949	5383	283
950	5385	277
951	5391	271
952	5406	266
953	5413	261
954	5417	255
955	5420	249
956	5440	244
957	5442	238
958	5445	232
959	5448	227
960	5452	221
961	5471	216
962	5482	210
963	5484	204
964	5486	199
965	5499	193
966	5501	187
967	5507	182
968	5510	176
969	5516	170
970	5519	164
971	5521	159
972	5538	153
973	5544	148
974	5547	142
975	5556	136
976	5560	130
977	5562	125
978	5574	119
979	5580	113
980	5592	108
981	5607	102
982	5624	97
983	5631	91
984	5635	85
985	5637	80
986	5640	74
987	5649	68
988	5657	62
989	5660	57
990	5666	51
991	5669	45
992	5674	40
993	5682	34
994	5687	28
995	5702	22
996	5705	17
997	5714	11
998	5716	5
999	5724	0
